,gym,gym Latitude,gym Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,place1,40.433487,-3.645917,Docamar,40.43350072361024,-3.6481332828624735,Tapas Restaurant
1,place1,40.433487,-3.645917,El Callejón de Álvarez Gato,40.43642507036786,-3.644408334145584,Bar
2,place1,40.433487,-3.645917,Las Farolas,40.43454648704393,-3.645645551536567,Coffee Shop
3,place1,40.433487,-3.645917,Granier Panes Artesanos,40.435454818477815,-3.643281574383909,Bakery
4,place1,40.433487,-3.645917,Taberna Balkanika,40.433096856780345,-3.6455595609032785,Restaurant
5,place1,40.433487,-3.645917,Plaza de Quintana,40.43309083011563,-3.648474914103884,Plaza
6,place1,40.433487,-3.645917,A'Conchiña,40.43176391882853,-3.6505245188994344,Bar
7,place1,40.433487,-3.645917,Mayser,40.436214830853544,-3.6457741323988624,Bar
8,place1,40.433487,-3.645917,Baden Baden,40.43616241110644,-3.6438032956652004,Brewery
9,place1,40.433487,-3.645917,Decathlon City Madrid Alcalá,40.434858,-3.644704,Sporting Goods Shop
10,place1,40.433487,-3.645917,Troade Cervecería,40.437167826485016,-3.6454686533236287,Burger Joint
11,place1,40.433487,-3.645917,El Paso Doble,40.43448580481362,-3.647475649942133,Spanish Restaurant
12,place1,40.433487,-3.645917,Ludorum Juegos,40.4339989324363,-3.6411200346154473,Hobby Shop
13,place1,40.433487,-3.645917,Poly Juguetes,40.433979,-3.646074,Toy / Game Store
14,place1,40.433487,-3.645917,El Fogón Asturiano,40.433231,-3.648076,Spanish Restaurant
15,place1,40.433487,-3.645917,Zara,40.435797,-3.642561,Clothing Store
16,place1,40.433487,-3.645917,Monty's,40.435610560133355,-3.643054335199933,Tapas Restaurant
17,place1,40.433487,-3.645917,Mercadona,40.43480149851623,-3.6424593091832684,Supermarket
18,place1,40.433487,-3.645917,Supercor,40.43416107234965,-3.647205001124752,Supermarket
19,place1,40.433487,-3.645917,Club Atlas Fitness,40.43216478537231,-3.6515361467629406,Gym
20,place1,40.433487,-3.645917,Bar Alambique,40.43519660324922,-3.6443191620019646,Spanish Restaurant
21,place1,40.433487,-3.645917,H&M,40.43609773120234,-3.6418846743837707,Clothing Store
22,place1,40.433487,-3.645917,Ipanema,40.434226303973716,-3.645885636608047,Bakery
23,place1,40.433487,-3.645917,Sushiwakka Express,40.43324,-3.6481607,Sushi Restaurant
24,place1,40.433487,-3.645917,KFC,40.432749985603635,-3.65055768107959,Fast Food Restaurant
25,place1,40.433487,-3.645917,80's coffee,40.43449269332638,-3.6451700804058342,Coffee Shop
26,place1,40.433487,-3.645917,Springfield,40.4359484386377,-3.64109528918847,Clothing Store
27,place1,40.433487,-3.645917,Joyma,40.43619161627796,-3.6449755206076193,Spanish Restaurant
28,place1,40.433487,-3.645917,Inside,40.43613203471097,-3.6418079623515784,Clothing Store
29,place2,40.400732,-3.665297,Taberna Búlgara,40.40322270972992,-3.663089680862082,Eastern European Restaurant
30,place2,40.400732,-3.665297,Restaurante Puerta Bisagra,40.40181927378037,-3.660041116010407,Restaurant
31,place2,40.400732,-3.665297,Callao24 by Jhosef Arias,40.39797561760422,-3.667129576206207,Peruvian Restaurant
32,place2,40.400732,-3.665297,Instalacion Deportiva Municipal Adelfas,40.40352545522929,-3.6685800957454324,Soccer Field
33,place2,40.400732,-3.665297,Lizarran,40.39819024020586,-3.6689210145453695,Tapas Restaurant
34,place2,40.400732,-3.665297,Lupita IV,40.39705062703654,-3.6652030932024893,South American Restaurant
35,place2,40.400732,-3.665297,llaollao,40.396573365179286,-3.6657477557502327,Ice Cream Shop
36,place2,40.400732,-3.665297,la Sirena,40.39881745632077,-3.670006229181634,Grocery Store
37,place2,40.400732,-3.665297,Holiday Gym,40.396452948541864,-3.6655690001741488,Gym
38,place2,40.400732,-3.665297,Lidl,40.4027170627812,-3.660276639948417,Food & Drink Shop
39,place2,40.400732,-3.665297,AhorraMas,40.40173409647844,-3.664836687159345,Grocery Store
40,place2,40.400732,-3.665297,Campo De Las Adelfas,40.40314475961148,-3.6688425408877916,Football Stadium
41,place2,40.400732,-3.665297,VIPS Albufera,40.397295,-3.6670057,Burger Joint
42,place2,40.400732,-3.665297,Body Factory,40.400295025176526,-3.670797173931382,Gym
43,place2,40.400732,-3.665297,KFC,40.39728680079319,-3.6673041184659523,Fast Food Restaurant
44,place2,40.400732,-3.665297,Bar Santander-Camuy,40.39770412495976,-3.6678964574055914,Café
45,place2,40.400732,-3.665297,Mercado de Doña Carlota,40.40330662655084,-3.6619996060916966,Market
46,place2,40.400732,-3.665297,Carrefour Market,40.39785629947126,-3.6681478233964633,Supermarket
47,place2,40.400732,-3.665297,Burger King,40.39791519585962,-3.6692710646319853,Fast Food Restaurant
48,place2,40.400732,-3.665297,Hotel NH Madrid Sur,40.398955968827686,-3.6701524819406264,Hotel
49,place2,40.400732,-3.665297,Casa Bustos,40.40200216032936,-3.670151073178109,Spanish Restaurant
50,place2,40.400732,-3.665297,McDonald's,40.398450652334255,-3.668956432600495,Fast Food Restaurant
51,place2,40.400732,-3.665297,Fotoprix,40.396393,-3.6657403,Camera Store
52,place2,40.400732,-3.665297,EL SALON DE SIERRA TOLEDANA,40.40093390381653,-3.6609400739684754,Pub
53,place2,40.400732,-3.665297,K-Thommas,40.401168229383636,-3.659831285476684,Mediterranean Restaurant
54,place3,40.446905,-3.674936,Casa Benigna,40.44809073514549,-3.6742265886202774,Spanish Restaurant
55,place3,40.446905,-3.674936,Pizza Napoli,40.44868427705434,-3.6746085110692115,Pizza Place
56,place3,40.446905,-3.674936,Cines Conde Duque Auditorio (Cines Conde Duque Auditorio Morasol),40.44817765674578,-3.675808564789826,Multiplex
57,place3,40.446905,-3.674936,Auditorio Nacional de Música,40.446067936066186,-3.677756582066686,Concert Hall
58,place3,40.446905,-3.674936,La Ancha,40.4490694858795,-3.6776593243227795,Spanish Restaurant
59,place3,40.446905,-3.674936,Chocolatería San Ginés,40.444388,-3.674064,Café
60,place3,40.446905,-3.674936,El Flaco,40.448432348138844,-3.670635058495978,Thai Restaurant
61,place3,40.446905,-3.674936,Parque de Berlín,40.45040881142348,-3.675699234008789,Park
62,place3,40.446905,-3.674936,Ferrara Bar Gastronomía,40.44898426688391,-3.6773653216928235,Restaurant
63,place3,40.446905,-3.674936,Evboca,40.44837819156532,-3.6760392996529028,Tapas Restaurant
64,place3,40.446905,-3.674936,Chocolatería Milagros,40.44501647692645,-3.671852669720428,Café
65,place3,40.446905,-3.674936,El Txacolí,40.444629505456135,-3.6706641714858406,Spanish Restaurant
66,place3,40.446905,-3.674936,The Market Madrid,40.4490371952376,-3.6770939826965328,Restaurant
67,place3,40.446905,-3.674936,Sercotel Apartamentos Togumar Hotel,40.443844005460015,-3.6725893075058886,Hotel
68,place3,40.446905,-3.674936,El Rinconcito de Juan,40.44864528098534,-3.6751100796302865,Tapas Restaurant
69,place3,40.446905,-3.674936,Terraza Lobbo,40.446126980639754,-3.6785043083638826,Spanish Restaurant
70,place3,40.446905,-3.674936,Teatro Pradillo,40.44868094997393,-3.674750393460813,Theater
71,place3,40.446905,-3.674936,Orale Compadre,40.448832760719476,-3.672911254441705,Mexican Restaurant
72,place3,40.446905,-3.674936,Al Fanus,40.44428011748356,-3.677243982128824,Middle Eastern Restaurant
73,place3,40.446905,-3.674936,La Pausa,40.448172462009026,-3.678068602039832,Bar
74,place3,40.446905,-3.674936,Lidl,40.44402727772006,-3.675403413730485,Supermarket
75,place3,40.446905,-3.674936,Casa Emilio,40.44326826048128,-3.6752837285505833,Bar
76,place3,40.446905,-3.674936,Version Original VO,40.44753461407672,-3.672491957294269,Sports Bar
77,place3,40.446905,-3.674936,Abuelita Alicia,40.445197153946026,-3.6716754605446256,Spanish Restaurant
78,place3,40.446905,-3.674936,Gaytan,40.449976,-3.678366,Restaurant
79,place3,40.446905,-3.674936,BoxInBox Music,40.44842588184858,-3.669571798983677,Music Venue
80,place3,40.446905,-3.674936,Plaza de Cataluña,40.448776907780356,-3.6778803992719027,Plaza
81,place3,40.446905,-3.674936,Uvepan,40.444564063177395,-3.6734824403983395,Bakery
82,place3,40.446905,-3.674936,La Tagliatella,40.445221402236214,-3.6776811092788173,Italian Restaurant
83,place3,40.446905,-3.674936,La Sirena,40.444997902151606,-3.6716980021344816,Grocery Store
84,place3,40.446905,-3.674936,Auditorium SPA,40.44577935412456,-3.6762900592419325,Spa
85,place3,40.446905,-3.674936,Bo Wok,40.44485,-3.6731822,Asian Restaurant
86,place3,40.446905,-3.674936,Teatro Prosperidad,40.446440989789615,-3.6759829815988416,Comedy Club
87,place3,40.446905,-3.674936,Yokohama,40.44780708941061,-3.6769527865756366,Japanese Restaurant
88,place3,40.446905,-3.674936,Sopa,40.44812583252388,-3.6724867673868737,Vegetarian / Vegan Restaurant
89,place3,40.446905,-3.674936,La Quinta,40.44586917494738,-3.6769641591394224,Restaurant
90,place3,40.446905,-3.674936,Cafeteria Las Vidrieras,40.44981766648587,-3.6775917191657257,Coffee Shop
91,place3,40.446905,-3.674936,Panaria,40.449452,-3.678103,Bakery
92,place3,40.446905,-3.674936,Entrenotas,40.4468352,-3.676490099999999,Bar
93,place3,40.446905,-3.674936,Plaza de Prosperidad,40.442655958926416,-3.6745242670438754,Plaza
94,place3,40.446905,-3.674936,luman II,40.447281608681024,-3.6694171447913755,Coffee Shop
95,place3,40.446905,-3.674936,Intermezzo,40.44561951603385,-3.6768371192869815,Diner
96,place3,40.446905,-3.674936,Condis,40.44428472037762,-3.6714616030675162,Supermarket
97,place3,40.446905,-3.674936,Cafeteria Prosperidad,40.444115946664425,-3.6747055862352296,Bar
98,place3,40.446905,-3.674936,Cazorla Restaurante,40.450423214019246,-3.67857160510214,Restaurant
99,place3,40.446905,-3.674936,La Ría,40.443753881865405,-3.6747724709913734,Bar
100,place3,40.446905,-3.674936,Rodilla,40.44279,-3.675693,Sandwich Place
101,place3,40.446905,-3.674936,Granier,40.44542383946096,-3.6722127717515947,Bakery
102,place3,40.446905,-3.674936,Holiday Gym,40.443182915677056,-3.6754897275342495,Gym
103,place3,40.446905,-3.674936,AhorraMas,40.445536145870925,-3.669621567946523,Supermarket
104,place3,40.446905,-3.674936,Efes Donner Kebab,40.447415770797356,-3.6696036180498934,Fast Food Restaurant
105,place3,40.446905,-3.674936,Restaurante De Fabula,40.4463710866872,-3.6706221283026985,Spanish Restaurant
