,line,Longitude,Latitude,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,1,-3.645225283556576,40.38976870035243,ALTO DEL ARENAL/1,2,Asian Restaurant,Bar,Grocery Store,Pizza Place,Chinese Restaurant,Building,German Restaurant,Soccer Stadium,Kebab Restaurant,Miscellaneous Shop
6,1,-3.7033178070796913,40.45033105413335,ALVARADO/1,1,Restaurant,Bar,Grocery Store,Pizza Place,Seafood Restaurant,Hotel,Bakery,Frozen Yogurt Shop,Kebab Restaurant,Gastropub
47,1,-3.699375741673241,40.41246302818812,ANTON MARTIN/1,3,Restaurant,Hotel,Bar,Coffe Shop,Theater,Tapas Restaurant,Jazz Club,Bookstore,Hostel,Mexican Restaurant
147,1,-3.692490883566612,40.408846792956474,ATOCHA/1,3,Restaurant,Coffe Shop,Hotel,Bar,Garden,Sandwich Place,Mediterranean Restaurant,Italian Restaurant,Museum,Art Museum
206,1,-3.6893799937155283,40.406586090726144,ATOCHA RENFE/1,3,Restaurant,Hotel,Grocery Store,Garden,Bookstore,Museum,Sandwich Place,Art Museum,Tapas Restaurant,Falafel Restaurant
264,1,-3.676377276244711,40.47680705593772,BAMBU/1,3,Coffe Shop,Mexican Restaurant,Bar,Fish & Chips Shop,Tennis Court,Mediterranean Restaurant,Italian Restaurant,German Restaurant,Kebab Restaurant,Miscellaneous Shop
272,1,-3.702188295886297,40.42904963582931,BILBAO/1,3,Restaurant,Bar,Plaza,Coffe Shop,Ice Cream Shop,Japanese Restaurant,Cocktail Bar,Brewery,Mediterranean Restaurant,Nightclub
372,1,-3.6539143400014304,40.39155774604133,BUENOS AIRES/1,2,Bar,Restaurant,Pizza Place,Electronics Store,American Restaurant,Soccer Stadium,Fast Food Restaurant,Big Box Store,Grocery Store,Gym
384,1,-3.6825932781154513,40.4720227901636,CHAMARTIN/1,3,Restaurant,Platform,Coffe Shop,Bar,Hotel,Gym,Supermarket,Sandwich Place,Wine Bar,Bowling Alley
427,1,-3.618850584099445,40.372381107450174,CONGOSTO/1,1,Restaurant,Automotive Shop,Soccer Field,Skate Park,Basketball Court,Tennis Court,Kebab Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store
432,1,-3.703978476654022,40.44696667800756,CUATRO CAMINOS/1,0,Restaurant,Tapas Restaurant,Bar,Coffe Shop,Grocery Store,Supermarket,Bakery,Soccer Field,Japanese Restaurant,Italian Restaurant
509,1,-3.703028749396468,40.45427874922785,ESTRECHO/1,0,Restaurant,Tapas Restaurant,Bakery,Bar,Pub,Pizza Place,Supermarket,Gym,Seafood Restaurant,Kebab Restaurant
577,1,-3.701811363848994,40.42000685738866,GRAN VIA/1,3,Hotel,Restaurant,Coffe Shop,Plaza,Gourmet Shop,Clothing Store,Sporting Goods Shop,Bookstore,Tapas Restaurant,Bar
677,1,-3.698983453377392,40.43491591143403,IGLESIA/1,1,Restaurant,Tapas Restaurant,Coffe Shop,Italian Restaurant,Bar,Bakery,Mexican Restaurant,Plaza,Japanese Restaurant,Burger Joint
767,1,-3.6134711039363103,40.37018451188382,LA GAVIA/1,2,Restaurant,Grocery Store,Pharmacy,Sushi Restaurant,Supermarket,Skate Park,Asian Restaurant,German Restaurant,Miscellaneous Shop,Building
774,1,-3.5995338882203147,40.363221458113095,LAS SUERTES/1,0,Park,Restaurant,Pizza Place,Skate Park,Sushi Restaurant,Supermarket,Clothing Store,Tapas Restaurant,Coffe Shop,Boutique
786,1,-3.68099094552854,40.404446601213934,MENENDEZ PELAYO/1,0,Restaurant,Bar,Coffe Shop,Museum,Hotel,Ice Cream Shop,Athletics & Sports,Italian Restaurant,Art Gallery,Bakery
850,1,-3.639511225386237,40.38731392982777,MIGUEL HERNANDEZ/1,2,Grocery Store,Pizza Place,Fast Food Restaurant,Coffe Shop,Fruit & Vegetable Store,Chinese Restaurant,Neighborhood,Kebab Restaurant,Miscellaneous Shop,Building
859,1,-3.66414535178604,40.39553550876285,NUEVA NUMANCIA/1,2,Burger Joint,Bakery,Pizza Place,Supermarket,Pub,BBQ Joint,Sandwich Place,Brewery,Ice Cream Shop,Snack Place
891,1,-3.6751373636802835,40.401255680712225,PACIFICO/1,0,Restaurant,Coffe Shop,Bar,Tapas Restaurant,Grocery Store,Gym,Pizza Place,Athletics & Sports,Food & Drink Shop,Bakery
941,1,-3.666807043721634,40.48013291749131,PINAR DE CHAMARTIN/1,1,Restaurant,Gym,Bar,Supermarket,Italian Restaurant,Food,Sports Bar,Diner,Japanese Restaurant,Asian Restaurant
967,1,-3.689182340661554,40.466893623466774,PLAZA DE CASTILLA/1,1,Restaurant,Italian Restaurant,Coffe Shop,Chinese Restaurant,Hotel,Fast Food Restaurant,Electronics Store,Argentinian Restaurant,Burger Joint,Seafood Restaurant
1030,1,-3.658685211486692,40.3926568047608,PORTAZGO/1,2,Gym,Pizza Place,Restaurant,Fast Food Restaurant,Performing Arts Venue,American Restaurant,Concert Hall,Rock Club,Big Box Store,Brewery
1048,1,-3.669061703442904,40.3981918732199,PUENTE DE VALLECAS/1,2,Fast Food Restaurant,Supermarket,Coffe Shop,Tapas Restaurant,Grocery Store,Gym,Hotel,Bakery,Peruvian Restaurant,BBQ Joint
1078,1,-3.7013322873211663,40.441973758517896,RIOS ROSAS/1,0,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Supermarket,Italian Restaurant,Theater,Pizza Place,Japanese Restaurant,Pub
1152,1,-3.624724516699161,40.38216046446645,SIERRA DE GUADALUPE/1,2,Deli / Bodega,Fast Food Restaurant,Department Store,Breakfast Spot,Seafood Restaurant,Church,Grocery Store,Dessert Shop,Shoe Store,Building
1162,1,-3.7032639472488222,40.41687189377045,SOL/1,3,Restaurant,Hotel,Tapas Restaurant,Plaza,Coffe Shop,Hostel,Bookstore,Art Museum,Ice Cream Shop,Gourmet Shop
1262,1,-3.6982583415842796,40.46055088842157,TETUAN/1,1,Restaurant,Coffe Shop,Supermarket,Brazilian Restaurant,Brewery,Chinese Restaurant,Grocery Store,Pizza Place,Gym,Hotel
1302,1,-3.704666474578768,40.412340813197176,TIRSO DE MOLINA/1,3,Restaurant,Hotel,Coffe Shop,Tapas Restaurant,Plaza,Theater,Hostel,Ice Cream Shop,Bistro,Supermarket
1402,1,-3.7011092895468374,40.42618230502953,TRIBUNAL/1,3,Restaurant,Bar,Cocktail Bar,Coffe Shop,Italian Restaurant,Tapas Restaurant,Plaza,Bookstore,Nightclub,Hotel
1502,1,-3.695066466512397,40.46441695832889,VALDEACEDERAS/1,1,Restaurant,Coffe Shop,Chinese Restaurant,Grocery Store,Hotel,Italian Restaurant,Gym,Mediterranean Restaurant,Brewery,BBQ Joint
1593,1,-3.6213080158895963,40.37959325302986,VILLA DE VALLECAS/1,2,Restaurant,Grocery Store,Soccer Field,Church,Plaza,Gym Pool,Lake,Office,Shoe Store,Wine Shop
1601,10A,-3.6964415981734513,40.42852583791778,ALONSO MARTINEZ/10A,3,Restaurant,Hotel,Plaza,Italian Restaurant,Coffe Shop,Bistro,Japanese Restaurant,Bakery,Nightclub,Cocktail Bar
1698,10A,-3.783925418680029,40.383632271282956,AVIACION ESPAÑOLA/10A,0,Restaurant,Smoke Shop,Convenience Store,Sporting Goods Shop,Bar,Bus Station,Shoe Store,Paper / Office Supplies Store,Tennis Court,General Entertainment
1705,10A,-3.75311658343704,40.4078551777336,BATAN/10A,3,Theme Park Ride / Attraction,Restaurant,Snack Place,Tapas Restaurant,Theme Park,Buffet,General Entertainment,Miscellaneous Shop,Building,Paper / Office Supplies Store
1717,10A,-3.6858519004423416,40.48040885601242,BEGOÑA/10A,3,Restaurant,Hotel,Sandwich Place,Breakfast Spot,Burger Joint,Mediterranean Restaurant,Park,Fast Food Restaurant,Tapas Restaurant,Spa
1733,10A,-3.7746180160605984,40.39697434800015,COLONIA JARDIN/10A,2,Restaurant,Bakery,Bus Station,Grocery Store,Burger Joint,Diner,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
1747,10A,-3.6898623797190213,40.458421129185616,CUZCO/10A,1,Restaurant,Gym,Hotel,Seafood Restaurant,Paella Restaurant,Cocktail Bar,Ice Cream Shop,Japanese Restaurant,Asian Restaurant,Pub
1822,10A,-3.692833839645428,40.49507880631472,FUENCARRAL/10A,3,Coffe Shop,Snack Place,Plaza,Salad Place,Peruvian Restaurant,Pharmacy,Breakfast Spot,Track Stadium,Athletics & Sports,Food
1837,10A,-3.691275897641476,40.43752982644804,GREGORIO MARAÑON/10A,1,Restaurant,Bar,Hotel,Coffe Shop,Japanese Restaurant,Sushi Restaurant,Burger Joint,Tapas Restaurant,Lounge,Chinese Restaurant
1937,10A,-3.7356377170839976,40.41640917765352,LAGO/10A,1,Restaurant,Pool,Mediterranean Restaurant,Stadium,Lake,Paella Restaurant,Arts & Entertainment,Non-Profit,Farmers Market,Beer Garden
1959,10A,-3.6924180862691776,40.44657704290261,NUEVOS MINISTERIOS/10A,0,Restaurant,Tapas Restaurant,Clothing Store,Coffe Shop,Bar,Burger Joint,Japanese Restaurant,Italian Restaurant,Bakery,Snack Place
2048,10A,-3.709704711212932,40.42408480996496,PLAZA DE ESPAÑA/10A,3,Hotel,Coffe Shop,Restaurant,Cocktail Bar,Tapas Restaurant,Bookstore,Theater,Hostel,Argentinian Restaurant,Chinese Restaurant
2148,10A,-3.720328666004263,40.42102810708947,PRINCIPE PIO/10A,3,Hotel,Coffe Shop,Bar,Ice Cream Shop,Monument / Landmark,Park,Restaurant,Theater,Gastropub,Shopping Mall
2199,10A,-3.690382068697232,40.451580204753796,SANTIAGO BERNABEU/10A,1,Restaurant,Coffe Shop,Soccer Stadium,Bakery,Italian Restaurant,Clothing Store,Burger Joint,Plaza,Brewery,Nightclub
2289,10A,-3.695209949418144,40.50119961127806,TRES OLIVOS/10A,3,Coffe Shop,Track Stadium,Pharmacy,Supermarket,Plaza,Wine Shop,Neighborhood,German Restaurant,Miscellaneous Shop,Building
2372,10B,-3.669446787174648,40.50832462832863,LAS TABLAS/10B,0,Restaurant,Burger Joint,Coffe Shop,Playground,Pizza Place,Pharmacy,Gymnastics Gym,Nightclub,Spa,Thai Restaurant
2443,10B,-3.6957592776154735,40.50525031559373,MONTECARMELO/10B,2,Supermarket,Deli / Bodega,Asian Restaurant,Restaurant,Park,Athletics & Sports,Burger Joint,Wine Shop,Pet Store,Diner
2477,10B,-3.66277826042536,40.51553415823411,RONDA DE LA COMUNICACION/10B,1,Restaurant,Coffe Shop,IT Services,Italian Restaurant,Lake,Sushi Restaurant,Indian Restaurant,Mobile Phone Shop,Sandwich Place,Burger Joint
2502,11,-3.72791115890327,40.38082723882115,ABRANTES/11,2,Restaurant,Pizza Place,Soccer Field,Fast Food Restaurant,Athletics & Sports,Park,Lake,Gym Pool,Arcade,Office
2508,11,-3.751916263742287,40.37199788960605,CARABANCHEL ALTO/11,1,Restaurant,Gym,Plaza,BBQ Joint,Music School,Candy Store,Arcade,General Entertainment,Miscellaneous Shop,Building
2526,11,-3.756906023990758,40.364217512605684,LA PESETA/11,0,Bar,Restaurant,Music School,Pizza Place,Candy Store,Italian Restaurant,Park,Bakery,Steakhouse,Gym Pool
2543,11,-3.7182557200044095,40.38459935886321,PLAZA ELIPTICA/11,0,Bar,Bakery,Plaza,Gym,Seafood Restaurant,Colombian Restaurant,Restaurant,Kebab Restaurant,Grocery Store,Stadium
2556,11,-3.73910622280992,40.37359399926437,SAN FRANCISCO/11,2,Restaurant,Coffe Shop,Food & Drink Shop,Grocery Store,Supermarket,Hotel,German Restaurant,Kebab Restaurant,Miscellaneous Shop,Building
2858,2,-3.62351440276472,40.418284443909386,ALSACIA/2,3,Chinese Restaurant,Multiplex,Hotel,Breakfast Spot,Burger Joint,Big Box Store,Shoe Store,Clothing Store,Trail,Plaza
2877,2,-3.612070828457266,40.422390661721714,AVENIDA DE GUADALAJARA/2,1,Restaurant,Gas Station,Bar,Chinese Restaurant,Pizza Place,Beer Garden,Asian Restaurant,General Entertainment,Kebab Restaurant,Miscellaneous Shop
2886,2,-3.6949664945932885,40.41921937328667,BANCO DE ESPAÑA/2,3,Restaurant,Hotel,Plaza,Japanese Restaurant,Bar,Mediterranean Restaurant,Bakery,Art Gallery,Italian Restaurant,Gay Bar
2986,2,-3.704337220993404,40.43840594045452,CANAL/2,0,Restaurant,Bar,Tapas Restaurant,Coffe Shop,Seafood Restaurant,Gastropub,Theater,Beer Bar,Italian Restaurant,Mediterranean Restaurant
3056,2,-3.6759123759569374,40.42453956509611,GOYA/2,1,Restaurant,Tapas Restaurant,Coffe Shop,Burger Joint,Seafood Restaurant,Ice Cream Shop,Mediterranean Restaurant,Steakhouse,Gymnastics Gym,Thai Restaurant
3156,2,-3.6391475841604057,40.42361352022292,LA ALMUDENA/2,0,Park,Shopping Mall,Bar,Tapas Restaurant,Food & Drink Shop,Supermarket,Building,Paper / Office Supplies Store,Tennis Court,General Entertainment
3165,2,-3.650528497343345,40.4266131180015,LA ELIPA/2,1,Restaurant,Bar,Coffe Shop,Falafel Restaurant,Grocery Store,Soccer Field,Bakery,Wine Shop,Miscellaneous Shop,Building
3176,2,-3.6033126554226547,40.42374301041612,LAS ROSAS/2,2,Restaurant,Tapas Restaurant,Grocery Store,Mediterranean Restaurant,Gym,Pizza Place,Liquor Store,Playground,Seafood Restaurant,Kebab Restaurant
3189,2,-3.6692617275650825,40.42790259126464,MANUEL BECERRA/2,1,Restaurant,Seafood Restaurant,Tapas Restaurant,Bakery,Japanese Restaurant,Gym,Supermarket,Cupcake Shop,Miscellaneous Shop,Mexican Restaurant
3249,2,-3.707425679563484,40.42483751820921,NOVICIADO/2,3,Coffe Shop,Hotel,Restaurant,Bar,Theater,Cocktail Bar,Argentinian Restaurant,Hostel,Bookstore,Chinese Restaurant
3349,2,-3.709429506715207,40.41808648235822,OPERA/2,3,Restaurant,Plaza,Hotel,Tapas Restaurant,Ice Cream Shop,Coffe Shop,Bar,Bookstore,Gourmet Shop,Hostel
3449,2,-3.6801282562882505,40.42293825869697,PRINCIPE DE VERGARA/2,1,Restaurant,Italian Restaurant,Burger Joint,Tapas Restaurant,Ice Cream Shop,Bakery,Coffe Shop,Mediterranean Restaurant,Indian Restaurant,Steakhouse
3549,2,-3.7043420216216063,40.433216719734475,QUEVEDO/2,0,Restaurant,Coffe Shop,Bar,Tapas Restaurant,Plaza,Brewery,Burger Joint,Mexican Restaurant,Ice Cream Shop,Japanese Restaurant
3649,2,-3.6862547889045016,40.420298442434046,RETIRO/2,1,Restaurant,Hotel,Coffe Shop,Italian Restaurant,Dessert Shop,Shoe Store,Japanese Restaurant,Burger Joint,Park,Accessories Store
3732,2,-3.7055818156463136,40.43001095773282,SAN BERNARDO/2,3,Restaurant,Bar,Mexican Restaurant,Coffe Shop,Plaza,Hotel,Brewery,Ice Cream Shop,Japanese Restaurant,Italian Restaurant
3832,2,-3.70796634277563,40.42131167732352,SANTO DOMINGO/2,3,Restaurant,Coffe Shop,Hotel,Bar,Cocktail Bar,Theater,Hostel,Plaza,Bookstore,Tapas Restaurant
3932,2,-3.699256777934109,40.418049356378106,SEVILLA/2,3,Restaurant,Hotel,Tapas Restaurant,Cocktail Bar,Plaza,Art Museum,Coffe Shop,Pizza Place,Theater,Paella Restaurant
4032,2,-3.6636676897921747,40.43088079412545,VENTAS/2,1,Restaurant,Bakery,Italian Restaurant,General Entertainment,Miscellaneous Shop,Latin American Restaurant,Museum,American Restaurant,Mexican Restaurant,Gastropub
4057,3,-3.697892329475578,40.3840934125769,ALMENDRALES/3,1,Restaurant,Seafood Restaurant,Bar,Gastropub,Pub,Chinese Restaurant,Fast Food Restaurant,Gym,Grocery Store,BBQ Joint
4074,3,-3.715975031788373,40.43065877069208,ARGÜELLES/3,0,Restaurant,Tapas Restaurant,Bar,Coffe Shop,Sandwich Place,Pub,Burger Joint,Brewery,Ice Cream Shop,Bookstore
4135,3,-3.70566714539617,40.420127531994346,CALLAO/3,3,Coffe Shop,Hotel,Restaurant,Clothing Store,Tapas Restaurant,Bookstore,Hostel,Gourmet Shop,Plaza,Italian Restaurant
4235,3,-3.693635291131088,40.359578197527426,CIUDAD DE LOS ANGELES/3,0,Restaurant,Supermarket,Basketball Court,Burger Joint,Video Game Store,Shopping Mall,Pet Store,Clothing Store,Coffe Shop,Gym
4245,3,-3.69420215115586,40.39989953900073,DELICIAS/3,0,Restaurant,Tapas Restaurant,Grocery Store,Coffe Shop,Gym,Bakery,Beer Garden,Chinese Restaurant,Falafel Restaurant,Trade School
4297,3,-3.7026819925091385,40.405118619725904,EMBAJADORES/3,0,Restaurant,Bar,Coffe Shop,Tapas Restaurant,Gym,Art Gallery,Plaza,Indie Theater,Bookstore,Pizza Place
4397,3,-3.6958551049681336,40.375024514615504,HOSPITAL 12 DE OCTUBRE/3,2,Restaurant,Coffe Shop,Fast Food Restaurant,Office,Farmers Market,Shopping Mall,Pharmacy,Clothing Store,Sandwich Place,Falafel Restaurant
4413,3,-3.7009140558765012,40.4085077475188,LAVAPIES/3,0,Bar,Restaurant,Coffe Shop,Tapas Restaurant,Theater,Pizza Place,Art Gallery,Plaza,Market,Breakfast Spot
4503,3,-3.6951255513875054,40.391146176794116,LEGAZPI/3,0,Restaurant,Bar,Plaza,Coffe Shop,Tapas Restaurant,Park,Grocery Store,Farmers Market,Supermarket,Beer Garden
4560,3,-3.7194521744896463,40.43501556410216,MONCLOA/3,0,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Ice Cream Shop,Pizza Place,Sandwich Place,Japanese Restaurant,Italian Restaurant,Korean Restaurant
4608,3,-3.694234726052655,40.40307053569799,PALOS DE LA FRONTERA/3,1,Restaurant,Bakery,Coffe Shop,Tapas Restaurant,Grocery Store,Gym,Sandwich Place,Bookstore,Arepa Restaurant,Beer Garden
4699,3,-3.6931914329611035,40.3415355358706,SAN CRISTOBAL/3,2,Baseball Stadium,Convenience Store,Breakfast Spot,Tapas Restaurant,Grocery Store,Candy Store,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court
4705,3,-3.694177839097669,40.369989491378796,SAN FERMIN-ORCASUR/3,2,Fast Food Restaurant,Restaurant,Pizza Place,Pharmacy,Furniture / Home Store,Bed & Breakfast,Supermarket,Soccer Field,Grocery Store,Gym Pool
4715,3,-3.7134142861939377,40.427080002151314,VENTURA RODRIGUEZ/3,3,Restaurant,Hotel,Coffe Shop,Tapas Restaurant,Mexican Restaurant,Mediterranean Restaurant,Bar,Art Museum,Bookstore,Movie Theater
4783,3,-3.711990993449082,40.34122313886692,VILLAVERDE ALTO/3,1,Restaurant,Diner,Mobile Phone Shop,Kebab Restaurant,Miscellaneous Shop,Building,Paper / Office Supplies Store,Tennis Court,General Entertainment,German Restaurant
4792,3,-3.6926513322135466,40.350890273928535,VILLAVERDE BAJO CRUCE/3,1,Restaurant,Grocery Store,Pet Store,Electronics Store,Park,Bus Station,Coffe Shop,Wine Shop,Miscellaneous Shop,Building
4804,4,-3.667918652761097,40.44824371776939,ALFONSO XIII/4,0,Coffe Shop,Restaurant,Seafood Restaurant,Bar,Tapas Restaurant,Bakery,Rock Club,Burger Joint,Park,Mexican Restaurant
4859,4,-3.6561881225682944,40.45582440947207,ARTURO SORIA/4,1,Restaurant,Chinese Restaurant,Bar,Fast Food Restaurant,Food & Drink Shop,Smoke Shop,Argentinian Restaurant,Convenience Store,Paper / Office Supplies Store,Pharmacy
4886,4,-3.6766487941815313,40.438030781889246,AVENIDA DE AMERICA/4,3,Restaurant,Coffe Shop,Supermarket,Hotel,Indian Restaurant,Seafood Restaurant,Japanese Restaurant,Bakery,Argentinian Restaurant,Cosmetics Shop
4929,4,-3.661189835951984,40.45353464957249,AVENIDA DE LA PAZ/4,1,Restaurant,Bar,Chinese Restaurant,Lottery Retailer,Asian Restaurant,Indian Restaurant,Convenience Store,Mediterranean Restaurant,Smoke Shop,Supermarket
4946,4,-3.635600579737649,40.46380429988093,CANILLAS/4,1,Restaurant,Italian Restaurant,Juice Bar,Clothing Store,Coffe Shop,Farmers Market,Arcade,Soccer Field,Skating Rink,Pharmacy
4991,4,-3.6910103826094263,40.42541427689269,COLON/4,1,Restaurant,Hotel,Clothing Store,Japanese Restaurant,Italian Restaurant,Coffe Shop,American Restaurant,Accessories Store,Bakery,Flower Shop
5091,4,-3.6749645017347072,40.434671254236825,DIEGO DE LEON/4,1,Restaurant,Hotel,Bar,Coffe Shop,Seafood Restaurant,Bakery,Tapas Restaurant,Mediterranean Restaurant,Supermarket,Grocery Store
5191,4,-3.645820621327798,40.45944135187602,ESPERANZA/4,1,Restaurant,Hotel,Soccer Field,Rock Club,Italian Restaurant,Plaza,Pub,Wine Bar,Wine Shop,Miscellaneous Shop
5199,4,-3.6525796374794783,40.47536730266078,HORTALEZA/4,1,Restaurant,Pool,Supermarket,Park,Smoke Shop,Pharmacy,Soccer Field,Pub,Mediterranean Restaurant,Food Truck
5216,4,-3.6754163728813936,40.42916409911889,LISTA/4,1,Restaurant,Bar,Burger Joint,Seafood Restaurant,Gym,Mediterranean Restaurant,Bakery,Clothing Store,Mexican Restaurant,Supermarket
